season,team,dl_score_0_100
2019,ARI,38.52324278123554
2019,ATL,9.461561998655627
2019,BAL,71.91035185931467
2019,BUF,70.99151366219151
2019,CAR,84.86863049572838
2019,CHI,24.652750876831558
2019,CIN,50.56403335749809
2019,CLE,47.05869210399325
2019,DAL,42.77590396562223
2019,DEN,39.17743034106901
2019,DET,0.0
2019,GB,60.66821927673235
2019,HOU,29.298840342063865
2019,IND,36.58242887932768
2019,JAX,88.02292399849698
2019,KC,54.31178335586892
2019,LA,56.80717708240847
2019,LAC,25.753155262863103
2019,LV,6.909757650696249
2019,MIA,0.47026055298934355
2019,MIN,63.09709942076045
2019,NE,67.8129770334391
2019,NO,64.40464015649394
2019,NYG,45.582408431068096
2019,NYJ,40.324041849591204
2019,PHI,71.37690066359255
2019,PIT,100.0
2019,SEA,14.281634126080379
2019,SF,71.75915332976886
2019,TB,57.55503566521275
2019,TEN,29.33781440457854
2019,WAS,64.22194329465243
2020,ARI,59.813844766712656
2020,ATL,23.117526300330294
2020,BAL,57.393644295991045
2020,BUF,33.177033446713985
2020,CAR,30.061747505026954
2020,CHI,36.400775360116356
2020,CIN,8.519154211727578
2020,CLE,12.0335037671624
2020,DAL,27.726424811975587
2020,DEN,49.44712060663798
2020,DET,0.0
2020,GB,40.081257915357526
2020,HOU,37.55527996800514
2020,IND,32.44708251514713
2020,JAX,13.610264106786786
2020,KC,39.6320178004692
2020,LA,70.42453162389612
2020,LAC,32.1543740288849
2020,LV,9.136764283062966
2020,MIA,56.451538417127594
2020,MIN,8.835330802694148
2020,NE,15.825670420468999
2020,NO,64.13370039073438
2020,NYG,57.18660866793048
2020,NYJ,21.690792289663495
2020,PHI,85.18004712219461
2020,PIT,100.0
2020,SEA,51.67693469580007
2020,SF,18.04759465838531
2020,TB,56.90459404103266
2020,TEN,3.038111630656671
2020,WAS,65.67672078055928
2021,ARI,75.07411311403776
2021,ATL,0.0
2021,BAL,50.12222083518587
2021,BUF,64.03912295572783
2021,CAR,74.57080716783055
2021,CHI,87.26057071651232
2021,CIN,48.73195512275709
2021,CLE,70.167327747917
2021,DAL,68.6327790629685
2021,DEN,47.84526697886881
2021,DET,18.31498840301364
2021,GB,58.69642482022255
2021,HOU,34.49462747555162
2021,IND,38.68014742228344
2021,JAX,48.787817259052545
2021,KC,30.25894899612965
2021,LA,61.940481065032046
2021,LAC,53.39252018247511
2021,LV,65.19911824901645
2021,MIA,100.0
2021,MIN,66.40478622672252
2021,NE,50.62781158276069
2021,NO,85.70774223930623
2021,NYG,30.43203575316962
2021,NYJ,46.19743631213984
2021,PHI,35.401656151586394
2021,PIT,92.69109737387429
2021,SEA,32.509821233180844
2021,SF,91.93192614566097
2021,TB,79.60562030915753
2021,TEN,61.635776494374724
2021,WAS,66.18746131816724
2022,ARI,57.20675797160754
2022,ATL,14.385618222177845
2022,BAL,55.8626665318887
2022,BUF,49.702429667319485
2022,CAR,42.65260466880905
2022,CHI,0.0
2022,CIN,52.242689555606404
2022,CLE,26.14762139276271
2022,DAL,74.79240097214148
2022,DEN,30.845412778555687
2022,DET,52.62408793828728
2022,GB,60.25502435614513
2022,HOU,43.28901365126765
2022,IND,52.640791560557574
2022,JAX,53.62424646917251
2022,KC,67.5927917910558
2022,LA,43.63054162915635
2022,LAC,45.03702484789276
2022,LV,33.07349473380431
2022,MIA,50.29517101023857
2022,MIN,32.16901054590853
2022,NE,58.64860788918001
2022,NO,49.6445078804882
2022,NYG,64.05531615944443
2022,NYJ,85.02465296668555
2022,PHI,100.0
2022,PIT,42.12271753052554
2022,SEA,61.594583258219394
2022,SF,62.58580371576015
2022,TB,61.051721969303685
2022,TEN,38.566892880971494
2022,WAS,82.62396874856259
2023,ARI,0.0
2023,ATL,55.018485293907105
2023,BAL,69.1270556848634
2023,BUF,73.31628266645257
2023,CAR,26.39621586458569
2023,CHI,11.648137889329611
2023,CIN,66.2223734118608
2023,CLE,75.98531789881716
2023,DAL,63.00876354152608
2023,DEN,55.311698217072184
2023,DET,65.12071505240655
2023,GB,63.1267518323549
2023,HOU,71.76179770952847
2023,IND,76.58563705134547
2023,JAX,45.958867220845626
2023,KC,84.6661613936057
2023,LA,29.515087741962724
2023,LAC,47.22715209900074
2023,LV,46.95415330654148
2023,MIA,100.0
2023,MIN,37.11154939355841
2023,NE,14.547241427221351
2023,NO,6.009439300667636
2023,NYG,15.625341788386208
2023,NYJ,78.00515240143069
2023,PHI,30.977369859481737
2023,PIT,61.91086863410518
2023,SEA,54.24567765488305
2023,SF,53.17686634711912
2023,TB,34.27911041785357
2023,TEN,30.367748510455396
2023,WAS,20.812119224083272
2024,ARI,33.9462581573637
2024,ATL,9.015673352689637
2024,BAL,75.56327384502734
2024,BUF,54.782038671348154
2024,CAR,3.474785685977892
2024,CHI,80.00960459914873
2024,CIN,49.20484114166101
2024,CLE,89.05976900818135
2024,DAL,89.6606945187875
2024,DEN,100.0
2024,DET,35.799241932562786
2024,GB,48.725142407417145
2024,HOU,76.67235640405418
2024,IND,32.83948216022415
2024,JAX,0.0
2024,KC,78.38251406372659
2024,LA,45.03969216609513
2024,LAC,53.21334533849567
2024,LV,29.084310700577184
2024,MIA,27.58296116461407
2024,MIN,67.15263528289556
2024,NE,0.21331517581255305
2024,NO,24.571217818374848
2024,NYG,67.31023359362487
2024,NYJ,45.607370120547294
2024,PHI,44.429020909699815
2024,PIT,56.14786214148019
2024,SEA,77.60964969035932
2024,SF,47.18961247905736
2024,TB,56.90383782258534
2024,TEN,23.437262637925564
2024,WAS,49.47666210102532
2025,ARI,32.76271818052373
2025,ATL,45.82491679484001
2025,BAL,13.062775078457792
2025,BUF,45.82491679484001
2025,CAR,14.827224926291516
2025,CHI,45.82491679484001
2025,CIN,13.850145814479552
2025,CLE,45.82491679484001
2025,DAL,50.110323452794226
2025,DEN,100.0
2025,DET,71.35610727376384
2025,GB,55.80910120538081
2025,HOU,42.26358531150862
2025,IND,54.83531037334459
2025,JAX,15.812789117981792
2025,KC,55.74584109808129
2025,LA,78.89761480704178
2025,LAC,56.902131731135725
2025,LV,26.927987927664766
2025,MIA,32.72415220697774
2025,MIN,45.82491679484001
2025,NE,36.03480461613967
2025,NO,44.162478816183906
2025,NYG,37.74380583045441
2025,NYJ,45.82491679484001
2025,PHI,39.80707670461179
2025,PIT,72.62966399339014
2025,SEA,55.58214028146733
2025,SF,0.0
2025,TB,52.01717644682144
2025,TEN,58.85753305572046
2025,WAS,47.48735477349611
